Season,Date,Game Type,Team,Opponent,Arena,City,State,Attendance,game_date,attendance
2018,"July 1, 2018",Regular season,Indiana Fever,Atlanta Dream,Bankers Life Fieldhouse,Indianapolis,IN,5277,2018-07-01,5277
2018,"July 1, 2018",Regular season,Chicago Sky,New York Liberty,Wintrust Arena,Chicago,IL,5382,2018-07-01,5382
2018,"July 1, 2018",Regular season,Seattle Storm,Connecticut Sun,KeyArena,Seattle,WA,9307,2018-07-01,9307
2018,"July 3, 2018",Regular season,New York Liberty,Seattle Storm,Westchester County Center,White Plains,NY,1749,2018-07-03,1749
2018,"July 3, 2018",Regular season,Dallas Wings,Chicago Sky,College Park Center,Arlington,TX,4012,2018-07-03,4012
2018,"July 3, 2018",Regular season,Minnesota Lynx,Indiana Fever,Target Center,Minneapolis,MN,8632,2018-07-03,8632
2018,"July 3, 2018",Regular season,Los Angeles Sparks,Connecticut Sun,Staples Center,Los Angeles,CA,6280,2018-07-03,6280
2018,"July 5, 2018",Regular season,Washington Mystics,New York Liberty,Capital One Arena,Washington,DC,4674,2018-07-05,4674
2018,"July 5, 2018",Regular season,Dallas Wings,Indiana Fever,College Park Center,Arlington,TX,4043,2018-07-05,4043
2018,"July 5, 2018",Regular season,Minnesota Lynx,Los Angeles Sparks,Target Center,Minneapolis,MN,9303,2018-07-05,9303
2018,"July 5, 2018",Regular season,Las Vegas Aces,Chicago Sky,Mandalay Bay Events Center,Las Vegas,NV,4699,2018-07-05,4699
2018,"July 5, 2018",Regular season,Phoenix Mercury,Connecticut Sun,Talking Stick Resort Arena,Phoenix,AZ,8599,2018-07-05,8599
2018,"July 6, 2018",Regular season,Atlanta Dream,Seattle Storm,McCamish Pavilion,Atlanta,GA,3935,2018-07-06,3935
2018,"July 7, 2018",Regular season,Los Angeles Sparks,Washington Mystics,Staples Center,Los Angeles,CA,10163,2018-07-07,10163
2018,"July 7, 2018",Regular season,Chicago Sky,Minnesota Lynx,Wintrust Arena,Chicago,IL,6139,2018-07-07,6139
2018,"July 7, 2018",Regular season,Las Vegas Aces,Connecticut Sun,Mandalay Bay Events Center,Las Vegas,NV,3363,2018-07-07,3363
2018,"July 8, 2018",Regular season,Atlanta Dream,Phoenix Mercury,McCamish Pavilion,Atlanta,GA,3952,2018-07-08,3952
2018,"July 8, 2018",Regular season,New York Liberty,Dallas Wings,Westchester County Center,White Plains,NY,1719,2018-07-08,1719
2018,"July 8, 2018",Regular season,Seattle Storm,Washington Mystics,KeyArena,Seattle,WA,8724,2018-07-08,8724
2018,"July 10, 2018",Regular season,Seattle Storm,Los Angeles Sparks,KeyArena,Seattle,WA,9686,2018-07-10,9686
2018,"July 10, 2018",Regular season,Dallas Wings,Phoenix Mercury,College Park Center,Arlington,TX,4034,2018-07-10,4034
2018,"July 10, 2018",Regular season,Chicago Sky,Las Vegas Aces,Wintrust Arena,Chicago,IL,7696,2018-07-10,7696
2018,"July 11, 2018",Regular season,Connecticut Sun,New York Liberty,Mohegan Sun Arena,Uncasville,CT,7413,2018-07-11,7413
2018,"July 11, 2018",Regular season,Washington Mystics,Atlanta Dream,Capital One Arena,Washington,DC,11354,2018-07-11,11354
2018,"July 11, 2018",Regular season,Indiana Fever,Minnesota Lynx,Bankers Life Fieldhouse,Indianapolis,IN,10006,2018-07-11,10006
2018,"July 12, 2018",Regular season,Los Angeles Sparks,Dallas Wings,Staples Center,Los Angeles,CA,13502,2018-07-12,13502
2018,"July 13, 2018",Regular season,Atlanta Dream,Indiana Fever,McCamish Pavilion,Atlanta,GA,3807,2018-07-13,3807
2018,"July 13, 2018",Regular season,Connecticut Sun,Phoenix Mercury,Mohegan Sun Arena,Uncasville,CT,7696,2018-07-13,7696
2018,"July 13, 2018",Regular season,Washington Mystics,Chicago Sky,Capital One Arena,Washington,DC,5858,2018-07-13,5858
2018,"July 13, 2018",Regular season,Minnesota Lynx,Las Vegas Aces,Target Center,Minneapolis,MN,9813,2018-07-13,9813
2018,"July 14, 2018",Regular season,Seattle Storm,Dallas Wings,KeyArena,Seattle,WA,9686,2018-07-14,9686
2018,"July 15, 2018",Regular season,Atlanta Dream,Washington Mystics,McCamish Pavilion,Atlanta,GA,3880,2018-07-15,3880
2018,"July 15, 2018",Regular season,New York Liberty,Chicago Sky,Westchester County Center,White Plains,NY,2073,2018-07-15,2073
2018,"July 15, 2018",Regular season,Indiana Fever,Phoenix Mercury,Bankers Life Fieldhouse,Indianapolis,IN,6302,2018-07-15,6302
2018,"July 15, 2018",Regular season,Las Vegas Aces,Los Angeles Sparks,Mandalay Bay Events Center,Las Vegas,NV,4810,2018-07-15,4810
2018,"July 15, 2018",Regular season,Minnesota Lynx,Connecticut Sun,Target Center,Minneapolis,MN,9234,2018-07-15,9234
2018,"July 17, 2018",Regular season,Dallas Wings,New York Liberty,College Park Center,Arlington,TX,6459,2018-07-17,6459
2018,"July 17, 2018",Regular season,Connecticut Sun,Atlanta Dream,Mohegan Sun Arena,Uncasville,CT,5555,2018-07-17,5555
2018,"July 18, 2018",Regular season,Chicago Sky,Seattle Storm,Wintrust Arena,Chicago,IL,10024,2018-07-18,10024
2018,"July 18, 2018",Regular season,Minnesota Lynx,Indiana Fever,Target Center,Minneapolis,MN,17933,2018-07-18,17933
2018,"July 19, 2018",Regular season,Atlanta Dream,New York Liberty,McCamish Pavilion,Atlanta,GA,3074,2018-07-19,3074
2018,"July 19, 2018",Regular season,Dallas Wings,Washington Mystics,College Park Center,Arlington,TX,4411,2018-07-19,4411
2018,"July 19, 2018",Regular season,Phoenix Mercury,Las Vegas Aces,Talking Stick Resort Arena,Phoenix,AZ,8587,2018-07-19,8587
2018,"July 20, 2018",Regular season,Connecticut Sun,Seattle Storm,Mohegan Sun Arena,Uncasville,CT,7908,2018-07-20,7908
2018,"July 20, 2018",Regular season,Chicago Sky,Dallas Wings,Wintrust Arena,Chicago,IL,4962,2018-07-20,4962
2018,"July 20, 2018",Regular season,Los Angeles Sparks,Indiana Fever,Staples Center,Los Angeles,CA,10532,2018-07-20,10532
2018,"July 21, 2018",Regular season,New York Liberty,Washington Mystics,Westchester County Center,White Plains,NY,2005,2018-07-21,2005
