Season,Date,Game Type,Team,Opponent,Arena,City,State,Attendance,game_date,attendance
2022,"August 4, 2022",Regular season,Dallas Wings,Las Vegas Aces,College Park Center,Arlington,TX,3492,2022-08-04,3492
2022,"August 5, 2022",Regular season,Atlanta Dream,Los Angeles Sparks,Gateway Center Arena @ College Park,Atlanta,GA,3138,2022-08-05,3138
2022,"August 5, 2022",Regular season,Chicago Sky,Washington Mystics,Wintrust Arena,Chicago,IL,8042,2022-08-05,8042
2022,"August 6, 2022",Regular season,Dallas Wings,Indiana Fever,College Park Center,Arlington,TX,4184,2022-08-06,4184
2022,"August 6, 2022",Regular season,Phoenix Mercury,New York Liberty,Footprint Center,Phoenix,AZ,11724,2022-08-06,11724
2022,"August 7, 2022",Regular season,Chicago Sky,Connecticut Sun,Wintrust Arena,Chicago,IL,8224,2022-08-07,8224
2022,"August 7, 2022",Regular season,Washington Mystics,Los Angeles Sparks,Entertainment and Sports Arena,Washington,DC,4200,2022-08-07,4200
2022,"August 7, 2022",Regular season,Seattle Storm,Las Vegas Aces,Climate Pledge Arena,Seattle,WA,18100,2022-08-07,18100
2022,"August 7, 2022",Regular season,Minnesota Lynx,Atlanta Dream,Target Center,Minneapolis,MN,9421,2022-08-07,9421
2022,"August 8, 2022",Regular season,Dallas Wings,New York Liberty,College Park Center,Arlington,TX,3036,2022-08-08,3036
2022,"August 9, 2022",Regular season,Chicago Sky,Seattle Storm,Wintrust Arena,Chicago,IL,9314,2022-08-09,9314
2022,"August 9, 2022",Regular season,Las Vegas Aces,Atlanta Dream,Michelob ULTRA Arena,Las Vegas,NV,5151,2022-08-09,5151
2022,"August 9, 2022",Regular season,Los Angeles Sparks,Connecticut Sun,Crypto.com Arena,Los Angeles,CA,5789,2022-08-09,5789
2022,"August 10, 2022",Regular season,Dallas Wings,New York Liberty,College Park Center,Arlington,TX,3795,2022-08-10,3795
2022,"August 10, 2022",Regular season,Phoenix Mercury,Minnesota Lynx,Footprint Center,Phoenix,AZ,7307,2022-08-10,7307
2022,"August 11, 2022",Regular season,Las Vegas Aces,Chicago Sky,Michelob ULTRA Arena,Las Vegas,NV,6055,2022-08-11,6055
2022,"August 11, 2022",Regular season,Los Angeles Sparks,Connecticut Sun,Crypto.com Arena,Los Angeles,CA,4987,2022-08-11,4987
2022,"August 12, 2022",Regular season,Indiana Fever,Washington Mystics,Hinkle Fieldhouse,Indianapolis,IN,1700,2022-08-12,1700
2022,"August 12, 2022",Regular season,Atlanta Dream,New York Liberty,Gateway Center Arena @ College Park,Atlanta,GA,3138,2022-08-12,3138
2022,"August 12, 2022",Regular season,Minnesota Lynx,Seattle Storm,Target Center,Minneapolis,MN,12134,2022-08-12,12134
2022,"August 12, 2022",Regular season,Phoenix Mercury,Dallas Wings,Footprint Center,Phoenix,AZ,8047,2022-08-12,8047
2022,"August 14, 2022",Regular season,Connecticut Sun,Minnesota Lynx,Mohegan Sun Arena,Uncasville,CT,7489,2022-08-14,7489
2022,"August 14, 2022",Regular season,New York Liberty,Atlanta Dream,Barclays Center,Brooklyn,NY,7561,2022-08-14,7561
2022,"August 14, 2022",Regular season,Washington Mystics,Indiana Fever,Entertainment and Sports Arena,Washington,DC,4200,2022-08-14,4200
2022,"August 14, 2022",Regular season,Las Vegas Aces,Seattle Storm,Michelob ULTRA Arena,Las Vegas,NV,10015,2022-08-14,10015
2022,"August 14, 2022",Regular season,Phoenix Mercury,Chicago Sky,Footprint Center,Phoenix,AZ,12383,2022-08-14,12383
2022,"August 14, 2022",Regular season,Los Angeles Sparks,Dallas Wings,Crypto.com Arena,Los Angeles,CA,7245,2022-08-14,7245
2023,"May 19, 2023",Regular season,Indiana Fever,Connecticut Sun,Gainbridge Fieldhouse,Indianapolis,IN,7356,2023-05-19,7356
2023,"May 19, 2023",Regular season,Washington Mystics,New York Liberty,Entertainment and Sports Arena,Washington,DC,4200,2023-05-19,4200
2023,"May 19, 2023",Regular season,Minnesota Lynx,Chicago Sky,Target Center,Minneapolis,MN,8024,2023-05-19,8024
2023,"May 19, 2023",Regular season,Los Angeles Sparks,Phoenix Mercury,Crypto.com Arena,Los Angeles,CA,10396,2023-05-19,10396
2023,"May 20, 2023",Regular season,Dallas Wings,Atlanta Dream,College Park Center,Arlington,TX,5588,2023-05-20,5588
2023,"May 20, 2023",Regular season,Seattle Storm,Las Vegas Aces,Climate Pledge Arena,Seattle,WA,11229,2023-05-20,11229
2023,"May 21, 2023",Regular season,Connecticut Sun,Washington Mystics,Mohegan Sun Arena,Uncasville,CT,7048,2023-05-21,7048
2023,"May 21, 2023",Regular season,New York Liberty,Indiana Fever,Barclays Center,Brooklyn,NY,8575,2023-05-21,8575
2023,"May 21, 2023",Regular season,Phoenix Mercury,Chicago Sky,Footprint Center,Phoenix,AZ,14040,2023-05-21,14040
2023,"May 23, 2023",Regular season,Washington Mystics,Connecticut Sun,Entertainment and Sports Arena,Washington,DC,3383,2023-05-23,3383
2023,"May 23, 2023",Regular season,Minnesota Lynx,Atlanta Dream,Target Center,Minneapolis,MN,7803,2023-05-23,7803
2023,"May 25, 2023",Regular season,Los Angeles Sparks,Las Vegas Aces,Crypto.com Arena,Los Angeles,CA,7314,2023-05-25,7314
2023,"May 25, 2023",Regular season,Phoenix Mercury,Minnesota Lynx,Footprint Center,Phoenix,AZ,6057,2023-05-25,6057
2023,"May 26, 2023",Regular season,Chicago Sky,Washington Mystics,Wintrust Arena,Chicago,IL,7304,2023-05-26,7304
2023,"May 26, 2023",Regular season,Seattle Storm,Dallas Wings,Climate Pledge Arena,Seattle,WA,8277,2023-05-26,8277
2023,"May 27, 2023",Regular season,New York Liberty,Connecticut Sun,Barclays Center,Brooklyn,NY,7102,2023-05-27,7102
2023,"May 27, 2023",Regular season,Las Vegas Aces,Los Angeles Sparks,Michelob ULTRA Arena,Las Vegas,NV,10191,2023-05-27,10191
2023,"May 28, 2023",Regular season,Atlanta Dream,Indiana Fever,Gateway Center Arena @ College Park,Atlanta,GA,3209,2023-05-28,3209
2023,"May 28, 2023",Regular season,Chicago Sky,Dallas Wings,Wintrust Arena,Chicago,IL,6042,2023-05-28,6042
2023,"May 28, 2023",Regular season,Las Vegas Aces,Minnesota Lynx,Michelob ULTRA Arena,Las Vegas,NV,7970,2023-05-28,7970
2023,"May 30, 2023",Regular season,Atlanta Dream,Chicago Sky,Gateway Center Arena @ College Park,Atlanta,GA,2562,2023-05-30,2562
2023,"May 30, 2023",Regular season,Connecticut Sun,Indiana Fever,Mohegan Sun Arena,Uncasville,CT,5317,2023-05-30,5317
2023,"May 30, 2023",Regular season,Dallas Wings,Minnesota Lynx,College Park Center,Arlington,TX,3484,2023-05-30,3484
2023,"May 30, 2023",Regular season,Seattle Storm,New York Liberty,Climate Pledge Arena,Seattle,WA,8340,2023-05-30,8340
2023,"June 1, 2023",Regular season,Minnesota Lynx,Connecticut Sun,Target Center,Minneapolis,MN,8124,2023-06-01,8124
2023,"June 2, 2023",Regular season,Chicago Sky,New York Liberty,Wintrust Arena,Chicago,IL,7188,2023-06-02,7188
2023,"June 2, 2023",Regular season,Washington Mystics,Dallas Wings,Entertainment and Sports Arena,Washington,DC,3294,2023-06-02,3294
2023,"June 2, 2023",Regular season,Atlanta Dream,Las Vegas Aces,Gateway Center Arena @ College Park,Atlanta,GA,3209,2023-06-02,3209
2023,"June 2, 2023",Regular season,Phoenix Mercury,Los Angeles Sparks,Footprint Center,Phoenix,AZ,8815,2023-06-02,8815
2023,"June 3, 2023",Regular season,Washington Mystics,Minnesota Lynx,Entertainment and Sports Arena,Washington,DC,3534,2023-06-03,3534
2023,"June 3, 2023",Regular season,Los Angeles Sparks,Seattle Storm,Crypto.com Arena,Los Angeles,CA,6866,2023-06-03,6866
2023,"June 4, 2023",Regular season,Connecticut Sun,Dallas Wings,Mohegan Sun Arena,Uncasville,CT,5012,2023-06-04,5012
2023,"June 4, 2023",Regular season,New York Liberty,Chicago Sky,Barclays Center,Brooklyn,NY,7225,2023-06-04,7225
2023,"June 4, 2023",Regular season,Indiana Fever,Las Vegas Aces,Gainbridge Fieldhouse,Indianapolis,IN,6131,2023-06-04,6131
2023,"June 6, 2023",Regular season,Connecticut Sun,Las Vegas Aces,Mohegan Sun Arena,Uncasville,CT,4368,2023-06-06,4368
2023,"June 6, 2023",Regular season,Chicago Sky,Indiana Fever,Wintrust Arena,Chicago,IL,5201,2023-06-06,5201
2023,"June 6, 2023",Regular season,Seattle Storm,Los Angeles Sparks,Climate Pledge Arena,Seattle,WA,7840,2023-06-06,7840
2023,"June 7, 2023",Regular season,Dallas Wings,Phoenix Mercury,College Park Center,Arlington,TX,4242,2023-06-07,4242
2023,"June 8, 2023",Regular season,Connecticut Sun,Las Vegas Aces,Mohegan Sun Arena,Uncasville,CT,5147,2023-06-08,5147
2023,"June 9, 2023",Regular season,Atlanta Dream,New York Liberty,Gateway Center Arena @ College Park,Atlanta,GA,3209,2023-06-09,3209
2023,"June 9, 2023",Regular season,Dallas Wings,Phoenix Mercury,College Park Center,Arlington,TX,6251,2023-06-09,6251
2023,"June 9, 2023",Regular season,Minnesota Lynx,Indiana Fever,Target Center,Minneapolis,MN,8510,2023-06-09,8510
2023,"June 9, 2023",Regular season,Los Angeles Sparks,Chicago Sky,Crypto.com Arena,Los Angeles,CA,5431,2023-06-09,5431
2023,"June 9, 2023",Regular season,Seattle Storm,Washington Mystics,Climate Pledge Arena,Seattle,WA,8397,2023-06-09,8397
2023,"June 11, 2023",Regular season,New York Liberty,Dallas Wings,Barclays Center,Brooklyn,NY,7615,2023-06-11,7615
2023,"June 11, 2023",Regular season,Las Vegas Aces,Chicago Sky,Michelob ULTRA Arena,Las Vegas,NV,9786,2023-06-11,9786
2023,"June 11, 2023",Regular season,Seattle Storm,Washington Mystics,Climate Pledge Arena,Seattle,WA,13213,2023-06-11,13213
2023,"June 11, 2023",Regular season,Atlanta Dream,Connecticut Sun,Gateway Center Arena @ College Park,Atlanta,GA,2690,2023-06-11,2690
2023,"June 11, 2023",Regular season,Indiana Fever,Phoenix Mercury,Gainbridge Fieldhouse,Indianapolis,IN,5013,2023-06-11,5013
2023,"June 11, 2023",Regular season,Minnesota Lynx,Los Angeles Sparks,Target Center,Minneapolis,MN,8025,2023-06-11,8025
2023,"June 13, 2023",Regular season,Indiana Fever,Washington Mystics,Gainbridge Fieldhouse,Indianapolis,IN,3005,2023-06-13,3005
2023,"June 13, 2023",Regular season,New York Liberty,Atlanta Dream,Barclays Center,Brooklyn,NY,5719,2023-06-13,5719
2023,"June 13, 2023",Regular season,Phoenix Mercury,Seattle Storm,Footprint Center,Phoenix,AZ,7044,2023-06-13,7044
2023,"June 14, 2023",Regular season,Dallas Wings,Los Angeles Sparks,College Park Center,Arlington,TX,5807,2023-06-14,5807
2023,"June 15, 2023",Regular season,Connecticut Sun,Atlanta Dream,Mohegan Sun Arena,Uncasville,CT,4316,2023-06-15,4316
2023,"June 15, 2023",Regular season,Chicago Sky,Indiana Fever,Wintrust Arena,Chicago,IL,6323,2023-06-15,6323
2023,"June 15, 2023",Regular season,Las Vegas Aces,Seattle Storm,Michelob ULTRA Arena,Las Vegas,NV,8518,2023-06-15,8518
2023,"June 16, 2023",Regular season,Washington Mystics,Phoenix Mercury,Entertainment and Sports Arena,Washington,DC,4200,2023-06-16,4200
2023,"June 16, 2023",Regular season,Los Angeles Sparks,Minnesota Lynx,Crypto.com Arena,Los Angeles,CA,5265,2023-06-16,5265
2023,"June 17, 2023",Regular season,Dallas Wings,Seattle Storm,College Park Center,Arlington,TX,5020,2023-06-17,5020
2023,"June 18, 2023",Regular season,New York Liberty,Phoenix Mercury,Barclays Center,Brooklyn,NY,9278,2023-06-18,9278
2023,"June 18, 2023",Regular season,Washington Mystics,Chicago Sky,Entertainment and Sports Arena,Washington,DC,4009,2023-06-18,4009
2023,"June 18, 2023",Regular season,Indiana Fever,Atlanta Dream,Gainbridge Fieldhouse,Indianapolis,IN,4024,2023-06-18,4024
2023,"June 18, 2023",Regular season,Los Angeles Sparks,Connecticut Sun,Crypto.com Arena,Los Angeles,CA,6289,2023-06-18,6289
2023,"June 18, 2023",Regular season,Las Vegas Aces,Minnesota Lynx,Michelob ULTRA Arena,Las Vegas,NV,8036,2023-06-18,8036
2023,"June 20, 2023",Regular season,Dallas Wings,Atlanta Dream,College Park Center,Arlington,TX,3392,2023-06-20,3392
2023,"June 20, 2023",Regular season,Los Angeles Sparks,Minnesota Lynx,Crypto.com Arena,Los Angeles,CA,4180,2023-06-20,4180
2023,"June 20, 2023",Regular season,Seattle Storm,Connecticut Sun,Climate Pledge Arena,Seattle,WA,7022,2023-06-20,7022
2023,"June 21, 2023",Regular season,Phoenix Mercury,Las Vegas Aces,Footprint Center,Phoenix,AZ,11580,2023-06-21,11580
2023,"June 22, 2023",Regular season,Chicago Sky,Washington Mystics,Wintrust Arena,Chicago,IL,6158,2023-06-22,6158
2023,"June 22, 2023",Regular season,Minnesota Lynx,Connecticut Sun,Target Center,Minneapolis,MN,7024,2023-06-22,7024
2023,"June 22, 2023",Regular season,Seattle Storm,Indiana Fever,Climate Pledge Arena,Seattle,WA,7734,2023-06-22,7734
2023,"June 23, 2023",Regular season,Atlanta Dream,New York Liberty,Gateway Center Arena @ College Park,Atlanta,GA,3209,2023-06-23,3209
2023,"June 23, 2023",Regular season,Los Angeles Sparks,Dallas Wings,Crypto.com Arena,Los Angeles,CA,5766,2023-06-23,5766
2023,"June 24, 2023",Regular season,Las Vegas Aces,Indiana Fever,Michelob ULTRA Arena,Las Vegas,NV,8310,2023-06-24,8310
2023,"June 24, 2023",Regular season,Seattle Storm,Phoenix Mercury,Climate Pledge Arena,Seattle,WA,9122,2023-06-24,9122
2023,"June 25, 2023",Regular season,Connecticut Sun,Chicago Sky,Mohegan Sun Arena,Uncasville,CT,6517,2023-06-25,6517
2023,"June 25, 2023",Regular season,New York Liberty,Washington Mystics,Barclays Center,Brooklyn,NY,7285,2023-06-25,7285
2023,"June 25, 2023",Regular season,Los Angeles Sparks,Dallas Wings,Crypto.com Arena,Los Angeles,CA,6380,2023-06-25,6380
2023,"June 26, 2023",Regular season,Las Vegas Aces,Indiana Fever,Michelob ULTRA Arena,Las Vegas,NV,8143,2023-06-26,8143
2023,"June 27, 2023",Regular season,Connecticut Sun,New York Liberty,Mohegan Sun Arena,Uncasville,CT,7344,2023-06-27,7344
2023,"June 27, 2023",Regular season,Minnesota Lynx,Seattle Storm,Target Center,Minneapolis,MN,7014,2023-06-27,7014
2023,"June 27, 2023",Regular season,Phoenix Mercury,Dallas Wings,Footprint Center,Phoenix,AZ,5652,2023-06-27,5652
2023,"June 28, 2023",Regular season,Chicago Sky,Los Angeles Sparks,Wintrust Arena,Chicago,IL,8810,2023-06-28,8810
2023,"June 28, 2023",Regular season,Washington Mystics,Atlanta Dream,Entertainment and Sports Arena,Washington,DC,3624,2023-06-28,3624
2023,"June 29, 2023",Regular season,Las Vegas Aces,New York Liberty,Michelob ULTRA Arena,Las Vegas,NV,9587,2023-06-29,9587
2023,"June 29, 2023",Regular season,Phoenix Mercury,Indiana Fever,Footprint Center,Phoenix,AZ,9047,2023-06-29,9047
2023,"June 29, 2023",Regular season,Seattle Storm,Minnesota Lynx,Climate Pledge Arena,Seattle,WA,6894,2023-06-29,6894
2023,"June 30, 2023",Regular season,Atlanta Dream,Washington Mystics,Gateway Center Arena @ College Park,Atlanta,GA,3209,2023-06-30,3209
2023,"June 30, 2023",Regular season,Chicago Sky,Los Angeles Sparks,Wintrust Arena,Chicago,IL,7272,2023-06-30,7272
2023,"July 1, 2023",Regular season,Las Vegas Aces,Connecticut Sun,Michelob ULTRA Arena,Las Vegas,NV,8596,2023-07-01,8596
2023,"July 1, 2023",Regular season,Phoenix Mercury,Minnesota Lynx,Footprint Center,Phoenix,AZ,8777,2023-07-01,8777
2023,"July 2, 2023",Regular season,Atlanta Dream,Los Angeles Sparks,Gateway Center Arena @ College Park,Atlanta,GA,3209,2023-07-02,3209
2023,"July 2, 2023",Regular season,Dallas Wings,Washington Mystics,College Park Center,Arlington,TX,4544,2023-07-02,4544
2023,"July 2, 2023",Regular season,Indiana Fever,Chicago Sky,Gainbridge Fieldhouse,Indianapolis,IN,4004,2023-07-02,4004
2023,"July 2, 2023",Regular season,Seattle Storm,New York Liberty,Climate Pledge Arena,Seattle,WA,9110,2023-07-02,9110
2023,"July 5, 2023",Regular season,New York Liberty,Phoenix Mercury,Barclays Center,Brooklyn,NY,7151,2023-07-05,7151
2023,"July 5, 2023",Regular season,Minnesota Lynx,Indiana Fever,Target Center,Minneapolis,MN,7624,2023-07-05,7624
2023,"July 5, 2023",Regular season,Las Vegas Aces,Dallas Wings,Michelob ULTRA Arena,Las Vegas,NV,10177,2023-07-05,10177
2023,"July 5, 2023",Regular season,Los Angeles Sparks,Atlanta Dream,Crypto.com Arena,Los Angeles,CA,5912,2023-07-05,5912
2023,"July 6, 2023",Regular season,Connecticut Sun,Seattle Storm,Mohegan Sun Arena,Uncasville,CT,5479,2023-07-06,5479
2023,"July 7, 2023",Regular season,Washington Mystics,Indiana Fever,Entertainment and Sports Arena,Washington,DC,4200,2023-07-07,4200
2023,"July 7, 2023",Regular season,Chicago Sky,Atlanta Dream,Wintrust Arena,Chicago,IL,7911,2023-07-07,7911
2023,"July 7, 2023",Regular season,Dallas Wings,Las Vegas Aces,College Park Center,Arlington,TX,6251,2023-07-07,6251
2023,"July 7, 2023",Regular season,Minnesota Lynx,Phoenix Mercury,Target Center,Minneapolis,MN,7714,2023-07-07,7714
2023,"July 8, 2023",Regular season,New York Liberty,Seattle Storm,Barclays Center,Brooklyn,NY,6789,2023-07-08,6789
2023,"July 9, 2023",Regular season,Connecticut Sun,Washington Mystics,Mohegan Sun Arena,Uncasville,CT,6558,2023-07-09,6558
2023,"July 9, 2023",Regular season,Indiana Fever,Dallas Wings,Gainbridge Fieldhouse,Indianapolis,IN,3612,2023-07-09,3612
2023,"July 9, 2023",Regular season,Phoenix Mercury,Los Angeles Sparks,Footprint Center,Phoenix,AZ,9206,2023-07-09,9206
2023,"July 9, 2023",Regular season,Minnesota Lynx,Las Vegas Aces,Target Center,Minneapolis,MN,7701,2023-07-09,7701
2023,"July 9, 2023",Regular season,Chicago Sky,Atlanta Dream,Wintrust Arena,Chicago,IL,7325,2023-07-09,7325
2023,"July 11, 2023",Regular season,Washington Mystics,Seattle Storm,Entertainment and Sports Arena,Washington,DC,3571,2023-07-11,3571
2023,"July 11, 2023",Regular season,Las Vegas Aces,Phoenix Mercury,Michelob ULTRA Arena,Las Vegas,NV,10281,2023-07-11,10281
2023,"July 12, 2023",Regular season,Indiana Fever,New York Liberty,Gainbridge Fieldhouse,Indianapolis,IN,6123,2023-07-12,6123
2023,"July 12, 2023",Regular season,Chicago Sky,Connecticut Sun,Wintrust Arena,Chicago,IL,9025,2023-07-12,9025
2023,"July 12, 2023",Regular season,Minnesota Lynx,Dallas Wings,Target Center,Minneapolis,MN,13531,2023-07-12,13531
2023,"July 12, 2023",Regular season,Atlanta Dream,Seattle Storm,Gateway Center Arena @ College Park,Atlanta,GA,2546,2023-07-12,2546
2023,"July 12, 2023",Regular season,Los Angeles Sparks,Las Vegas Aces,Crypto.com Arena,Los Angeles,CA,8085,2023-07-12,8085
2023,"July 18, 2023",Regular season,Atlanta Dream,Minnesota Lynx,Gateway Center Arena @ College Park,Atlanta,GA,2394,2023-07-18,2394
2023,"July 18, 2023",Regular season,Phoenix Mercury,Connecticut Sun,Footprint Center,Phoenix,AZ,7788,2023-07-18,7788
2023,"July 19, 2023",Regular season,Washington Mystics,Indiana Fever,Capital One Arena,Washington,DC,14406,2023-07-19,14406
2023,"July 19, 2023",Regular season,New York Liberty,Dallas Wings,Barclays Center,Brooklyn,NY,9012,2023-07-19,9012
2023,"July 20, 2023",Regular season,Connecticut Sun,Atlanta Dream,Mohegan Sun Arena,Uncasville,CT,8054,2023-07-20,8054
2023,"July 20, 2023",Regular season,Minnesota Lynx,Los Angeles Sparks,Target Center,Minneapolis,MN,7014,2023-07-20,7014
2023,"July 20, 2023",Regular season,Phoenix Mercury,Chicago Sky,Footprint Center,Phoenix,AZ,11292,2023-07-20,11292
2023,"July 20, 2023",Regular season,Seattle Storm,Las Vegas Aces,Climate Pledge Arena,Seattle,WA,7873,2023-07-20,7873
2023,"July 21, 2023",Regular season,Washington Mystics,New York Liberty,Entertainment and Sports Arena,Washington,DC,4200,2023-07-21,4200
2023,"July 22, 2023",Regular season,Atlanta Dream,Connecticut Sun,Gateway Center Arena @ College Park,Atlanta,GA,3209,2023-07-22,3209
2023,"July 22, 2023",Regular season,Minnesota Lynx,Las Vegas Aces,Target Center,Minneapolis,MN,7801,2023-07-22,7801
2023,"July 22, 2023",Regular season,Dallas Wings,Los Angeles Sparks,College Park Center,Arlington,TX,5041,2023-07-22,5041
2023,"July 22, 2023",Regular season,Seattle Storm,Chicago Sky,Climate Pledge Arena,Seattle,WA,8655,2023-07-22,8655
2023,"July 23, 2023",Regular season,Washington Mystics,Phoenix Mercury,Entertainment and Sports Arena,Washington,DC,4200,2023-07-23,4200
2023,"July 23, 2023",Regular season,New York Liberty,Indiana Fever,Barclays Center,Brooklyn,NY,7371,2023-07-23,7371
2023,"July 25, 2023",Regular season,Atlanta Dream,Phoenix Mercury,Gateway Center Arena @ College Park,Atlanta,GA,3209,2023-07-25,3209
2023,"July 25, 2023",Regular season,New York Liberty,Seattle Storm,Barclays Center,Brooklyn,NY,6118,2023-07-25,6118
2023,"July 25, 2023",Regular season,Chicago Sky,Las Vegas Aces,Wintrust Arena,Chicago,IL,9025,2023-07-25,9025
2023,"July 25, 2023",Regular season,Dallas Wings,Connecticut Sun,College Park Center,Arlington,TX,4222,2023-07-25,4222
2023,"July 25, 2023",Regular season,Los Angeles Sparks,Indiana Fever,Crypto.com Arena,Los Angeles,CA,5565,2023-07-25,5565
2023,"July 26, 2023",Regular season,Minnesota Lynx,Washington Mystics,Target Center,Minneapolis,MN,7024,2023-07-26,7024
2023,"July 27, 2023",Regular season,Los Angeles Sparks,Indiana Fever,Crypto.com Arena,Los Angeles,CA,11970,2023-07-27,11970
2023,"July 27, 2023",Regular season,New York Liberty,Atlanta Dream,Barclays Center,Brooklyn,NY,6206,2023-07-27,6206
2023,"July 28, 2023",Regular season,Chicago Sky,Seattle Storm,Wintrust Arena,Chicago,IL,7213,2023-07-28,7213
2023,"July 28, 2023",Regular season,Dallas Wings,Washington Mystics,College Park Center,Arlington,TX,4048,2023-07-28,4048
2023,"July 28, 2023",Regular season,New York Liberty,Minnesota Lynx,Barclays Center,Brooklyn,NY,6129,2023-07-28,6129
2023,"July 30, 2023",Regular season,Connecticut Sun,Minnesota Lynx,Mohegan Sun Arena,Uncasville,CT,8275,2023-07-30,8275
2023,"July 30, 2023",Regular season,Atlanta Dream,Washington Mystics,Gateway Center Arena @ College Park,Atlanta,GA,3209,2023-07-30,3209
2023,"July 30, 2023",Regular season,Indiana Fever,Seattle Storm,Gainbridge Fieldhouse,Indianapolis,IN,5196,2023-07-30,5196
2023,"July 30, 2023",Regular season,Chicago Sky,Phoenix Mercury,Wintrust Arena,Chicago,IL,8914,2023-07-30,8914
2023,"July 30, 2023",Regular season,Los Angeles Sparks,New York Liberty,Crypto.com Arena,Los Angeles,CA,8139,2023-07-30,8139
2023,"July 30, 2023",Regular season,Las Vegas Aces,Dallas Wings,Michelob ULTRA Arena,Las Vegas,NV,10213,2023-07-30,10213
2023,"August 1, 2023",Regular season,Connecticut Sun,Minnesota Lynx,Mohegan Sun Arena,Uncasville,CT,4894,2023-08-01,4894
2023,"August 1, 2023",Regular season,Indiana Fever,Phoenix Mercury,Gainbridge Fieldhouse,Indianapolis,IN,3018,2023-08-01,3018
2023,"August 1, 2023",Regular season,Las Vegas Aces,Atlanta Dream,Michelob ULTRA Arena,Las Vegas,NV,8366,2023-08-01,8366
2023,"August 1, 2023",Regular season,Los Angeles Sparks,New York Liberty,Crypto.com Arena,Los Angeles,CA,6498,2023-08-01,6498
2023,"August 2, 2023",Regular season,Seattle Storm,Dallas Wings,Climate Pledge Arena,Seattle,WA,7421,2023-08-02,7421
2023,"August 3, 2023",Regular season,Phoenix Mercury,Atlanta Dream,Footprint Center,Phoenix,AZ,7564,2023-08-03,7564
2023,"August 4, 2023",Regular season,Indiana Fever,Connecticut Sun,Gainbridge Fieldhouse,Indianapolis,IN,3498,2023-08-04,3498
2023,"August 4, 2023",Regular season,Washington Mystics,Los Angeles Sparks,Entertainment and Sports Arena,Washington,DC,3747,2023-08-04,3747
2023,"August 4, 2023",Regular season,Dallas Wings,Chicago Sky,College Park Center,Arlington,TX,3762,2023-08-04,3762
2023,"August 4, 2023",Regular season,Minnesota Lynx,New York Liberty,Target Center,Minneapolis,MN,7631,2023-08-04,7631
2023,"August 5, 2023",Regular season,Phoenix Mercury,Seattle Storm,Footprint Center,Phoenix,AZ,9411,2023-08-05,9411
2023,"August 6, 2023",Regular season,Atlanta Dream,Indiana Fever,Gateway Center Arena @ College Park,Atlanta,GA,3209,2023-08-06,3209
2023,"August 6, 2023",Regular season,New York Liberty,Las Vegas Aces,Barclays Center,Brooklyn,NY,11418,2023-08-06,11418
2023,"August 6, 2023",Regular season,Washington Mystics,Los Angeles Sparks,Entertainment and Sports Arena,Washington,DC,4073,2023-08-06,4073
2023,"August 6, 2023",Regular season,Dallas Wings,Chicago Sky,College Park Center,Arlington,TX,4057,2023-08-06,4057
2023,"August 8, 2023",Regular season,Seattle Storm,Connecticut Sun,Climate Pledge Arena,Seattle,WA,10212,2023-08-08,10212
2023,"August 8, 2023",Regular season,Indiana Fever,Los Angeles Sparks,Gainbridge Fieldhouse,Indianapolis,IN,3006,2023-08-08,3006
2023,"August 8, 2023",Regular season,Chicago Sky,Minnesota Lynx,Wintrust Arena,Chicago,IL,5099,2023-08-08,5099
2023,"August 8, 2023",Regular season,Dallas Wings,Las Vegas Aces,College Park Center,Arlington,TX,5193,2023-08-08,5193
2023,"August 8, 2023",Regular season,Phoenix Mercury,Washington Mystics,Footprint Center,Phoenix,AZ,6610,2023-08-08,6610
2023,"August 10, 2023",Regular season,Indiana Fever,Minnesota Lynx,Gainbridge Fieldhouse,Indianapolis,IN,2551,2023-08-10,2551
2023,"August 10, 2023",Regular season,Phoenix Mercury,Connecticut Sun,Footprint Center,Phoenix,AZ,7186,2023-08-10,7186
2023,"August 10, 2023",Regular season,Seattle Storm,Atlanta Dream,Climate Pledge Arena,Seattle,WA,7649,2023-08-10,7649
2023,"August 11, 2023",Regular season,New York Liberty,Chicago Sky,Barclays Center,Brooklyn,NY,8070,2023-08-11,8070
2023,"August 11, 2023",Regular season,Las Vegas Aces,Washington Mystics,Michelob ULTRA Arena,Las Vegas,NV,9364,2023-08-11,9364
2023,"August 12, 2023",Regular season,Los Angeles Sparks,Atlanta Dream,Crypto.com Arena,Los Angeles,CA,7119,2023-08-12,7119
2023,"August 12, 2023",Regular season,Dallas Wings,Connecticut Sun,College Park Center,Arlington,TX,4179,2023-08-12,4179
2023,"August 13, 2023",Regular season,Washington Mystics,Chicago Sky,Entertainment and Sports Arena,Washington,DC,3796,2023-08-13,3796
2023,"August 13, 2023",Regular season,Indiana Fever,New York Liberty,Gainbridge Fieldhouse,Indianapolis,IN,5019,2023-08-13,5019
2023,"August 13, 2023",Regular season,Seattle Storm,Phoenix Mercury,Climate Pledge Arena,Seattle,WA,10107,2023-08-13,10107
2023,"August 13, 2023",Regular season,Las Vegas Aces,Atlanta Dream,Michelob ULTRA Arena,Las Vegas,NV,8564,2023-08-13,8564
2023,"August 17, 2023",Regular season,Las Vegas Aces,New York Liberty,Michelob ULTRA Arena,Las Vegas,NV,9230,2023-08-17,9230
