".rownames","attendance","rolling_wins_44","dow","month","team_name","Season",".fitted",".resid",".hat",".sigma",".cooksd",".std.resid"
"62",6829,13,"Sat","5","NEW YORK LIBERTY","2022",3946.07918904483,2882.92081095517,0.0245576586852431,2472.42295182839,0.00125287740455134,1.18043105424938
"63",3289,14,"Fri","5","NEW YORK LIBERTY","2022",3372.59780066363,-83.5978006636342,0.0215520564986825,2473.80320637871,9.18887553690006e-07,-0.0341770602599612
"64",3095,14,"Sun","5","NEW YORK LIBERTY","2022",3703.28481130617,-608.28481130617,0.0208328109458282,2473.74311482841,4.69577750336367e-05,-0.248592064381193
"65",3054,13,"Tue","5","NEW YORK LIBERTY","2022",2474.91682332499,579.083176675013,0.0218194003029214,2473.74879847362,4.46628069331905e-05,0.236777341551626
"66",4079,13,"Wed","6","NEW YORK LIBERTY","2022",3744.49937494441,334.500625055587,0.0234458509866991,2473.78579297454,1.60666971148107e-05,0.136885511610922
"67",4119,15,"Sun","6","NEW YORK LIBERTY","2022",3935.4631264841,183.536873515902,0.0184274366515611,2473.79880165416,3.76293019831576e-06,0.0749153544551806
"68",3196,15,"Tue","6","NEW YORK LIBERTY","2022",2849.19979131584,346.800208684157,0.0197156008534457,2473.7844781037,1.44119893727565e-05,0.141648512828671
"69",4810,16,"Sun","6","NEW YORK LIBERTY","2022",4077.56777929703,732.432220702974,0.0181326141262597,2473.71580601826,5.89317083471669e-05,0.298916396833936
"70",4168,15,"Thu","6","NEW YORK LIBERTY","2022",3601.644771085,566.355228915003,0.0215322330316661,2473.75122986056,4.2134054348568e-05,0.231539114133354
"71",6859,15,"Sun","6","NEW YORK LIBERTY","2022",3935.4631264841,2923.5368735159,0.0184274366515611,2472.39261704398,0.000954765362746132,1.19331770748102
"72",6161,15,"Thu","6","NEW YORK LIBERTY","2022",3601.644771085,2559.355228915,0.0215322330316661,2472.71906834598,0.000860432010725958,1.04632360080934
"73",5201,15,"Tue","7","NEW YORK LIBERTY","2022",3708.08450183593,1492.91549816407,0.0204160521077661,2473.43555688342,0.00027696079469511,0.609990555964073
"74",9896,15,"Thu","7","NEW YORK LIBERTY","2022",4460.52948160508,5435.47051839492,0.0225538377035866,2468.90036563149,0.00407350680555641,2.22330700439707
"75",6926,14,"Sat","7","NEW YORK LIBERTY","2022",5037.14221474285,1888.85778525715,0.0242202422949507,2473.21166130857,0.000530069472459293,0.773271622683087
"76",6433,14,"Sun","7","NEW YORK LIBERTY","2022",4652.24318419125,1780.75681580875,0.0194609998286196,2473.28012596769,0.000374890152880487,0.72724525084902
"77",4891,15,"Tue","8","NEW YORK LIBERTY","2022",3801.81108991799,1089.18891008201,0.0208671520904638,2473.6079736701,0.000150815424151496,0.4451343562004
"78",5315,15,"Wed","8","NEW YORK LIBERTY","2022",4981.31997917242,333.680020827583,0.0243098517019187,2473.78586761643,1.66065063363131e-05,0.136610146985769
"79",7561,16,"Sun","8","NEW YORK LIBERTY","2022",5030.17907789917,2530.82092210083,0.019478003227663,2472.74536236055,0.000757900130020818,1.03357372460347
"80",8575,17,"Sun","5","NEW YORK LIBERTY","2023",4910.3850524284,3664.6149475716,0.0208555248833518,2471.58032000321,0.00170625392847617,1.49766153040071
"81",7102,18,"Sat","5","NEW YORK LIBERTY","2023",5437.38873579293,1664.61126420707,0.0237238507916105,2473.34428595897,0.000402832852008136,0.681295003631209
"82",7225,21,"Sun","6","NEW YORK LIBERTY","2023",5568.87732604512,1656.12267395488,0.0168498436323702,2473.35215105655,0.000279254753096181,0.675447022271536
"83",7615,22,"Sun","6","NEW YORK LIBERTY","2023",5710.98197885804,1904.01802114196,0.0168737086958104,2473.20660871363,0.000369652317652073,0.77656017409931
"84",5719,22,"Tue","6","NEW YORK LIBERTY","2023",4624.71864368979,1094.28135631021,0.0181628853487844,2473.60667888561,0.000131772064323907,0.44659925285755
"85",9278,21,"Sun","6","NEW YORK LIBERTY","2023",5568.87732604512,3709.12267395488,0.0168498436323702,2471.53523097592,0.0014007413912527,1.5127598364316
"86",7285,23,"Sun","6","NEW YORK LIBERTY","2023",5853.08663167097,1431.91336832903,0.0169507077735989,2473.4662789333,0.000210053601565895,0.584033569952128
"87",7151,26,"Wed","7","NEW YORK LIBERTY","2023",7231.53085471601,-80.530854716013,0.0222971518113345,2473.80328894563,8.83526632126161e-07,-0.032935751931391
"88",6789,27,"Sat","7","NEW YORK LIBERTY","2023",7665.28898399436,-876.288983994365,0.0229033695750833,2473.67698250148,0.000107591621301518,-0.35849847198514
"89",9012,27,"Wed","7","NEW YORK LIBERTY","2023",7373.63550752894,1638.36449247106,0.0225739584554855,2473.35920581466,0.000370442120959524,0.670158127339517
"90",7371,27,"Sun","7","NEW YORK LIBERTY","2023",7280.38995344277,90.6100465572299,0.0183315583536927,2473.80300848012,9.12182699784418e-07,0.0369830439256976
"91",6118,27,"Tue","7","NEW YORK LIBERTY","2023",6194.12661827452,-76.1266182745157,0.0196544285802988,2473.80340591632,6.92204650701968e-07,-0.0310925009863361
"92",6206,28,"Thu","7","NEW YORK LIBERTY","2023",7088.6762508566,-882.676250856599,0.0218043956688595,2473.67526392482,0.000103694308945346,-0.360908659796531
"93",6129,28,"Fri","7","NEW YORK LIBERTY","2023",7091.80759561316,-962.807595613163,0.0203113607638149,2473.6509932905,0.000114578013850084,-0.393372672630052
"94",11418,29,"Sun","8","NEW YORK LIBERTY","2023",7658.32584715069,3759.67415284931,0.0191611100630398,2471.46743183987,0.00164431539331049,1.53518275317776
"95",8070,30,"Fri","8","NEW YORK LIBERTY","2023",7469.74348932108,600.256510678916,0.0211159218038837,2473.74470369502,4.63746529216596e-05,0.24534655349317
"96",11615,34,"Mon","8","NEW YORK LIBERTY","2023",8270.51794374512,3344.48205625488,0.0668451348707315,2471.86073735722,0.00501509879570741,1.40010537384066
"97",8276,34,"Fri","9","NEW YORK LIBERTY","2023",8213.32814872231,62.6718512776861,0.0280332080968403,2473.80370907758,6.80729218165751e-07,0.0257072442947959
"98",6275,35,"Thu","9","NEW YORK LIBERTY","2023",8352.30145677868,-2077.30145677868,0.0301024254473035,2473.08313255584,0.000806507094649157,-0.852992678766491
"99",8306,35,"Sun","9","NEW YORK LIBERTY","2023",8686.11981217778,-380.119812177778,0.026658406145428,2473.78030293218,2.37467415234632e-05,-0.155810449099357
"100",17735,36,"Sat","5","NEW YORK LIBERTY","2024",11205.5747348744,6529.4252651256,0.0281315318438965,2466.68393621235,0.00741630712035426,2.67842767706727
"101",9381,36,"Mon","5","NEW YORK LIBERTY","2024",10722.3445368526,-1341.34453685259,0.0672962434667598,2473.49168225802,0.000812911856312368,-0.561664786137027
"102",12049,36,"Thu","5","NEW YORK LIBERTY","2024",10486.8573489237,1562.1426510763,0.0283275068546298,2473.39726940227,0.000427631131418697,0.640869274350236
"103",9182,35,"Wed","5","NEW YORK LIBERTY","2024",10771.816605596,-1589.81660559605,0.0286305532883678,2473.38258517011,0.000447934298935434,-0.652324250436391
"104",9878,35,"Fri","5","NEW YORK LIBERTY","2024",10347.8840408673,-469.884040867339,0.025655233240118,2473.76763497438,3.484908993555e-05,-0.192505472954291
"105",17401,35,"Sun","6","NEW YORK LIBERTY","2024",10768.6447138749,6632.35528612513,0.0228864969833362,2466.49683301146,0.00615863205113995,2.71333857934788
"106",12477,36,"Sun","6","NEW YORK LIBERTY","2024",10910.7493666878,1566.2506333122,0.0236624884292948,2473.39708086413,0.000355666024549289,0.641017648158323
"107",10955,36,"Thu","6","NEW YORK LIBERTY","2024",10576.9310112887,378.068988711297,0.0257152681661215,2473.7805849038,2.26162592228941e-05,0.154894794162956
"108",13639,36,"Sat","6","NEW YORK LIBERTY","2024",11295.6483972394,2343.3516027606,0.0270491948215533,2472.88940312905,0.000916446018038664,0.960728623131667
"109",10823,37,"Sun","6","NEW YORK LIBERTY","2024",11052.8540195007,-229.85401950073,0.0244916138896017,2473.79558572801,7.94180086175117e-06,-0.0941120673738387
"110",10846,37,"Tue","7","NEW YORK LIBERTY","2024",10825.4753948526,20.5246051474405,0.0264617552853988,2473.80429392837,6.86944473987674e-08,0.00841215017072202
"111",17758,36,"Thu","7","NEW YORK LIBERTY","2024",11435.8157218088,6322.18427819121,0.0270493272336045,2467.13679776899,0.00667065563425678,2.5919728831664
"112",13694,37,"Tue","7","NEW YORK LIBERTY","2024",10825.4753948526,2868.52460514744,0.0264617552853988,2472.43404202301,0.00134180427545577,1.1756844808244
"113",11455,37,"Tue","8","NEW YORK LIBERTY","2024",10919.2019829346,535.798017065375,0.0267529414258846,2473.75655375989,4.73573007695516e-05,0.219633340340578
"114",10986,38,"Thu","8","NEW YORK LIBERTY","2024",11813.7516155167,-827.751615516707,0.0288124300148174,2473.6900116865,0.000122245569783593,-0.339670002144595
"115",13098,38,"Sat","8","NEW YORK LIBERTY","2024",12532.4690014674,565.530998532598,0.0306569923194513,2473.7508856835,6.09462247803042e-05,0.232287793489538
"116",10873,36,"Thu","9","NEW YORK LIBERTY","2024",11704.7083580404,-831.708358040367,0.0290608286854234,2473.68888627829,0.000124544765371581,-0.341337315972372
"117",15393,36,"Sun","9","NEW YORK LIBERTY","2024",12038.5267134395,3354.47328656053,0.0261496632996427,2471.93084057277,0.00181213161430767,1.3746335614838
